,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,Leshukonskoye,92,RU,1552366738,89,64.9,45.76,31.65,3.62
74,Rantauprapat,48,ID,1552366445,68,2.1,99.83,85.56,2.73
75,Saint-Augustin,0,FR,1552366636,75,44.83,-0.61,41.0,8.05
76,Dergachi,80,RU,1552366742,91,51.24,48.77,35.25,19.06
77,East London,40,ZA,1552363200,94,-33.02,27.91,69.8,5.82
78,Qaanaaq,64,GL,1552366744,95,77.48,-69.36,-5.61,6.42
79,Atuona,12,PF,1552366745,100,-9.8,-139.03,82.41,15.82
80,Suez,0,EG,1552366747,78,29.97,32.54,49.92,2.62
81,Sumbe,48,AO,1552366748,100,-11.2,13.84,80.7,2.73
82,Tautira,90,PF,1552366398,88,-17.73,-149.15,77.0,4.7
83,Guerrero Negro,44,MX,1552366751,99,27.97,-114.04,57.21,12.46
84,Arraial do Cabo,68,BR,1552366752,100,-22.97,-42.02,75.93,11.01
85,Beloha,8,MG,1552366753,63,-25.17,45.06,81.6,16.04
86,Esperance,20,TT,1552366507,83,10.24,-61.45,75.2,4.41
87,Sinnamary,92,GF,1552366756,100,5.38,-52.96,77.1,9.89
88,Ponta do Sol,56,BR,1552366757,93,-20.63,-46.0,63.78,3.06
89,Margate,0,AU,1552366641,33,-43.03,147.26,62.6,14.99
90,Hermanus,80,ZA,1552365954,95,-34.42,19.24,62.01,2.84
91,Bethel,90,US,1552362960,80,60.79,-161.76,30.2,19.46
92,Puerto Ayora,0,EC,1552365056,82,-0.74,-90.35,79.0,8.01
93,Thompson,5,CA,1552363200,67,55.74,-97.86,19.4,4.7
94,Bluff,48,AU,1552366767,30,-23.58,149.07,97.44,6.42
95,Hualmay,32,PE,1552366768,89,-11.1,-77.61,68.73,3.4
96,Chifeng,44,CN,1552366769,53,42.27,118.96,27.06,14.58
97,Airai,92,TL,1552366770,85,-8.93,125.41,75.03,1.95
98,Siirt,0,TR,1552366772,76,37.93,41.94,45.69,2.39
99,Port Augusta,75,AU,1552366567,64,-32.49,137.76,77.0,20.8
100,Nouadhibou,0,MR,1552363200,40,20.93,-17.03,69.8,14.99
101,Itaituba,88,BR,1552366776,100,-4.26,-55.99,72.42,2.51
102,Nishihara,20,JP,1552366714,54,35.74,139.53,66.0,8.05
103,Kibre Mengist,20,ET,1552366779,34,5.87,38.99,70.71,3.4
104,Halifax,20,CA,1552366378,80,44.65,-63.58,35.01,10.29
105,Natal,20,BR,1552363200,78,-5.81,-35.21,82.4,10.29
106,Praia,0,BR,1552363200,77,-20.25,-43.81,69.8,3.36
107,Solnechnyy,88,RU,1552366784,85,50.72,136.64,28.05,5.08
108,Upernavik,20,GL,1552366785,100,72.79,-56.15,-3.27,6.98
109,Coquimbo,0,CL,1552363200,87,-29.95,-71.34,60.8,2.24
110,Mahebourg,20,MU,1552366446,83,-20.41,57.7,82.0,2.62
111,Whitehorse,20,CA,1552363200,50,60.72,-135.06,30.2,6.93
112,Hamilton,75,BM,1552366415,77,32.3,-64.78,66.2,10.29
113,Caravelas,56,BR,1552366792,100,-17.73,-39.27,82.95,7.65
114,Nuevo Progreso,90,US,1552366717,88,26.05,-97.95,77.0,12.75
115,Moerai,56,PF,1552366795,100,-22.43,-151.33,77.73,19.17
116,Ribeira Grande,92,PT,1552366796,100,38.52,-28.7,57.57,23.53
117,Cidreira,68,BR,1552366797,95,-30.17,-50.22,69.63,12.46
118,Flin Flon,68,CA,1552366799,82,54.77,-101.88,22.56,5.64
119,Banda Aceh,56,ID,1552366800,89,5.56,95.32,82.77,3.62
120,Lubango,8,AO,1552366516,79,-14.92,13.49,60.0,2.51
121,Port Lincoln,0,AU,1552366805,85,-34.72,135.86,66.21,11.01
122,Berlevag,75,NO,1552362600,67,70.86,29.09,21.2,4.7
123,Belousovka,20,KZ,1552365000,86,50.13,82.52,28.4,2.24
124,Agadez,0,NE,1552366824,37,16.97,7.99,63.06,5.75
125,Nabire,24,ID,1552366825,61,-3.36,135.5,83.13,3.06
126,Jahanabad,0,IR,1552363200,72,33.86,48.17,33.8,6.93
127,Ilulissat,64,GL,1552362600,65,69.22,-51.1,3.2,4.7
128,Naze,20,NG,1552366831,92,5.43,7.07,75.93,6.2
129,Mar del Plata,0,AR,1552366832,97,-46.43,-67.52,50.01,8.66
130,Sidi Ali,0,DZ,1552366834,86,36.1,0.42,39.93,2.62
131,Eureka,1,US,1552366535,100,40.8,-124.16,48.0,5.82
132,Zafra,0,ES,1552366030,76,38.43,-6.42,53.01,2.73
133,Shingu,20,JP,1552363200,44,33.72,135.99,59.0,14.99
134,Jiuquan,0,CN,1552366839,76,39.73,98.49,33.81,4.18
135,Rokytne,80,UA,1552366841,95,51.27,27.23,32.73,7.31
136,Matara,36,PE,1552366612,99,-13.74,-72.9,41.64,1.72
137,Dikson,36,RU,1552366619,87,73.51,80.55,1.95,13.47
138,Casas Grandes,92,MX,1552366845,97,30.15,-110.24,53.25,4.74
139,Itoman,20,JP,1552366402,45,26.12,127.67,69.8,11.41
140,San Cristobal,90,EC,1552365979,93,-0.39,-78.55,57.2,4.7
141,Khani,0,GE,1552365000,50,41.96,42.96,53.6,16.11
142,Egvekinot,0,RU,1552366850,68,66.32,-179.17,-10.74,4.29
143,Valmiera,80,LV,1552366816,93,57.54,25.42,23.0,1.01
144,Hay River,75,CA,1552363200,74,60.82,-115.79,28.4,5.82
145,Kungurtug,12,RU,1552366854,55,50.6,97.53,25.26,6.2
146,Issenye,0,CM,1552366856,30,12.51,14.37,68.46,10.45
147,Honiara,76,SB,1552366857,81,-9.43,159.96,81.96,1.16
148,Nuuk,0,GL,1552362600,72,64.17,-51.74,15.8,8.05
149,New Norfolk,0,AU,1552366831,33,-42.78,147.06,62.6,14.99
150,Ayr,92,GB,1552366806,86,55.46,-4.63,41.0,16.11
151,Sao Miguel do Araguaia,0,BR,1552366599,93,-13.28,-50.16,72.6,2.73
152,Lavrentiya,8,RU,1552366864,100,65.58,-170.99,-2.01,34.49
153,Chalakudi,0,IN,1552365000,62,10.3,76.34,87.8,6.93
154,Blankenberge,0,BE,1552366867,70,51.31,3.13,44.6,17.22
155,Hofn,92,IS,1552366868,100,64.25,-15.21,37.95,44.78
156,Tuktoyaktuk,75,CA,1552364040,76,69.44,-133.03,-4.01,18.34
157,Paamiut,88,GL,1552366871,100,61.99,-49.67,22.02,13.58
158,Nanortalik,88,GL,1552366872,100,60.14,-45.24,28.68,11.01
159,Santa Teresa,64,VE,1552366805,73,10.26,-66.69,66.0,1.01
160,Vostok,92,RU,1552366876,66,46.45,135.83,33.81,3.51
161,Baruun-Urt,8,MN,1552366877,28,46.68,113.28,28.05,15.48
162,Georgetown,92,GY,1552366800,84,6.8,-58.16,76.29,5.41
163,Hervey Bay,44,AU,1552366808,55,-25.3,152.85,89.6,18.34
164,Valdivia,0,CL,1552363200,100,-39.81,-73.25,46.4,1.12
165,Marawi,20,PH,1552366806,78,8.0,124.29,81.0,8.01
166,Santa Fe,100,AR,1552366530,85,-31.62,-60.7,66.0,3.0
167,Hutchinson,90,US,1552366665,61,38.06,-97.93,53.6,5.82
168,Oranjemund,88,ZA,1552366823,94,-28.55,16.43,62.52,7.31
169,Lishui,12,CN,1552366889,39,28.45,119.91,65.22,2.95
170,Bato,36,PH,1552366890,71,13.36,123.37,83.58,1.28
171,Hithadhoo,0,MV,1552366892,100,-0.6,73.08,84.12,11.45
172,Bilibino,20,RU,1552366893,72,68.06,166.44,-7.14,2.17
173,Ambon,90,FR,1552366879,81,47.55,-2.56,51.01,10.29
174,Constitucion,80,MX,1552366896,33,23.99,-104.67,59.73,6.98
175,Ponta Delgada,75,PT,1552366893,93,37.73,-25.67,59.0,2.24
176,Provideniya,0,RU,1552365000,60,64.42,-173.23,6.8,17.9
177,Bambanglipuro,8,ID,1552366900,100,-7.95,110.28,81.15,3.51
178,Chervone,56,UA,1552366901,66,47.83,37.79,34.26,6.42
179,Songjianghe,68,CN,1552366903,41,42.18,127.48,23.46,9.22
180,Bojnurd,0,IR,1552363200,86,37.47,57.33,33.8,2.24
181,Lagoa,0,PT,1552366630,87,37.14,-8.45,63.0,8.05
182,Bathsheba,75,BB,1552363200,94,13.22,-59.52,71.6,8.05
183,Iqaluit,5,CA,1552366378,67,63.75,-68.52,-22.01,2.24
184,Esfarayen,0,IR,1552363200,86,37.08,57.51,33.8,2.24
185,Suhbaatar,0,MN,1552366911,38,50.23,106.21,39.75,4.41
186,Buala,44,SB,1552366912,90,-8.15,159.59,84.48,5.3
187,Muros,40,ES,1552366653,93,42.77,-9.06,48.0,4.7
188,Bandrele,20,YT,1552365000,79,-12.91,45.19,84.2,9.17
189,Sindor,88,RU,1552366916,89,62.87,51.9,29.94,7.43
190,Ostrovnoy,0,RU,1552366680,83,68.05,39.51,13.74,7.99
191,Aguimes,20,ES,1552366835,82,27.91,-15.45,60.8,13.87
192,Libertador General San Martin,88,AR,1552366920,93,-23.81,-64.79,60.36,1.72
193,Puerto Madryn,0,AR,1552366922,95,-42.77,-65.04,58.65,18.28
194,Galle,90,US,1552366923,87,29.74,-97.91,63.0,9.17
195,Neverkino,92,RU,1552366924,93,52.79,46.74,33.36,16.49
196,Abha,75,SA,1552363200,62,18.22,42.5,57.2,1.83
197,Port Blair,0,IN,1552366927,100,11.67,92.75,82.23,8.88
198,Sao Joao da Barra,92,BR,1552366928,100,-21.64,-41.05,76.83,9.66
199,Pangnirtung,20,CA,1552366929,81,66.15,-65.72,-19.2,3.51
200,Chitipa,88,MW,1552366931,100,-9.7,33.27,63.69,3.85
201,Talnakh,76,RU,1552366932,91,69.49,88.39,10.32,12.8
202,Gladstone,20,AU,1552366025,55,-23.84,151.26,91.99,14.99
203,Maceio,40,BR,1552363200,88,-9.67,-35.74,77.0,3.36
204,Lazaro Cardenas,90,MX,1552366804,39,28.39,-105.62,64.99,14.92
205,Santa Paula,75,US,1552366645,58,34.35,-119.06,64.4,5.75
206,San Ramon,92,NI,1552366725,87,12.92,-85.84,66.0,4.0
207,Clyde River,1,CA,1552363200,75,70.47,-68.59,-20.21,2.24
208,Kamalpur,75,BD,1552365000,88,24.17,91.81,77.0,3.36
209,Miri,0,NG,1552366943,55,10.31,9.75,61.08,3.06
210,Langsa,20,ID,1552366944,87,4.47,97.97,82.23,2.62
211,Saint George,75,GR,1552366407,62,39.45,22.34,59.0,5.64
212,Paranhos,0,PY,1552366947,86,-23.89,-55.43,72.42,6.98
213,La Orilla,0,MX,1552366949,100,18.0,-102.23,68.28,1.95
214,Pemba,75,MZ,1552363200,100,-12.97,40.52,75.2,11.41
215,Langxiang,88,CN,1552366951,64,46.95,128.87,25.53,6.98
216,Ocos,20,GT,1552362180,88,14.51,-92.19,75.2,5.75
217,Isiro,0,CD,1552366954,81,2.77,27.62,73.23,2.95
218,Gobabis,0,NA,1552366956,58,-22.45,18.97,63.51,2.73
219,Adony,0,HU,1552366933,68,47.12,18.86,37.0,14.99
220,Salalah,0,OM,1552362600,60,17.01,54.1,75.2,6.93
221,Dabat,0,ET,1552366960,32,12.98,37.77,69.99,2.62
222,Kibala,8,TD,1552366961,33,9.11,18.35,75.48,6.2
223,Conde,0,BR,1552366818,99,-11.81,-37.61,76.83,4.85
224,Charleston,1,US,1552366704,38,38.35,-81.63,41.0,3.36
225,Saint-Philippe,90,CA,1552366938,63,45.36,-73.48,28.4,19.46
226,Kriel,0,ZA,1552366886,95,-26.26,29.26,61.0,3.0
227,Lorengau,92,PG,1552366968,100,-2.02,147.27,77.55,12.46
228,Kumla,0,SE,1552366950,72,59.13,15.14,18.0,3.36
229,Ukiah,1,US,1552366839,61,39.15,-123.21,51.01,3.36
230,Mpika,68,ZM,1552366972,99,-11.84,31.4,64.41,3.51
231,Mongu,32,ZM,1552366973,97,-15.27,23.14,67.92,4.18
232,Gorontalo,64,ID,1552366974,68,0.54,123.06,83.4,2.62
233,Mao,20,DO,1552366547,100,19.55,-71.08,73.0,8.43
234,Luderitz,0,NA,1552366977,87,-26.65,15.16,57.75,11.34
235,Okha,88,RU,1552366978,91,53.59,142.95,27.78,14.7
236,Kiama,75,AU,1552366639,18,-34.67,150.86,91.99,17.22
237,Tunoshna,0,RU,1552365000,79,57.55,40.13,26.6,11.18
238,Leningradskiy,0,RU,1552366982,68,69.38,178.42,-15.24,14.03
239,Tarakan,40,ID,1552363200,79,3.3,117.63,84.2,3.36
240,Mandalgovi,0,MN,1552366985,70,45.76,106.27,35.07,8.43
241,Bowen,0,AU,1552366968,62,-20.01,148.25,89.6,6.93
242,Mongoumba,8,CD,1552366988,87,3.64,18.59,76.2,4.41
243,Tiksi,0,RU,1552366989,73,71.64,128.87,5.46,18.16
244,La Ronge,40,CA,1552363200,86,55.1,-105.3,32.0,8.05
245,Samarai,92,PG,1552366992,100,-10.62,150.67,78.0,7.09
246,Prachuap Khiri Khan,0,TH,1552366993,26,11.81,99.79,96.99,1.72
247,Vardo,1,US,1552366827,38,39.62,-77.74,46.4,19.46
248,Alibag,12,IN,1552365000,57,18.64,72.88,80.6,6.93
249,Tiznit,8,MA,1552366997,90,29.7,-9.73,53.16,1.61
250,Lasa,75,CY,1552365000,81,34.92,32.53,51.8,5.82
251,Kaeo,64,NZ,1552366984,70,-35.1,173.78,77.0,8.01
252,Cayenne,75,GF,1552365000,83,4.94,-52.33,77.0,3.36
253,San Patricio,76,PY,1552367003,91,-26.98,-56.83,72.15,2.28
254,Altay,0,CN,1552367004,80,47.83,88.13,28.14,2.62
255,Muroto,40,JP,1552363200,36,33.37,134.14,62.6,11.41
256,Kamwenge,20,UG,1552367007,59,0.19,30.45,72.87,1.05
257,Bonthe,88,SL,1552367008,96,7.53,-12.5,78.63,3.4
258,Iracoubo,100,GF,1552367009,93,5.48,-53.21,74.85,4.63
259,Nadym,36,RU,1552367011,89,65.53,72.51,15.72,1.72
260,Subang,75,MY,1552366523,62,3.15,101.53,89.01,5.82
261,Minyar,92,RU,1552367014,82,55.07,57.55,33.9,11.79
262,Tucuman,0,PE,1552367015,86,-17.17,-70.89,56.76,1.61
263,Hami,0,CN,1552367016,43,42.84,93.51,55.32,5.41
264,Kavieng,88,PG,1552367017,100,-2.57,150.8,82.68,11.23
265,Yining,68,CN,1552367019,51,29.04,114.56,63.33,1.72
266,Norman Wells,90,CA,1552363200,92,65.28,-126.83,17.6,18.34
267,Nokaneng,24,BW,1552367021,52,-19.66,22.19,78.18,10.45
268,Marsa Matruh,0,EG,1552363200,50,31.35,27.25,53.6,9.55
269,Port Elizabeth,1,US,1552366967,42,39.31,-74.98,50.0,14.99
270,Waipawa,76,NZ,1552364057,63,-39.94,176.59,73.0,4.0
271,Khandbari,0,NP,1552367027,68,27.38,87.21,38.4,0.16
272,Manturovo,88,RU,1552367028,93,58.33,44.76,33.63,3.51
273,Longyearbyen,20,NO,1552362600,64,78.22,15.63,1.4,8.05
274,Isla Mujeres,40,MX,1552366397,83,21.23,-86.73,78.8,6.93
275,Maxixe,40,MZ,1552363200,78,-23.86,35.35,77.0,11.34
276,Poum,92,MK,1552367034,88,41.28,20.71,31.38,2.62
277,Avarua,88,CK,1552365000,88,-21.21,-159.78,77.0,5.82
278,Lincoln,92,GB,1552366863,87,53.23,-0.54,48.2,33.33
279,Roald,20,NO,1552366921,55,62.58,6.12,36.0,23.04
280,Dicabisagan,88,PH,1552367040,100,17.08,122.42,75.84,3.74
281,Safford,90,US,1552366838,82,32.83,-109.71,60.01,9.17
282,Nisia Floresta,20,BR,1552363200,78,-6.09,-35.21,82.4,10.29
283,Sistranda,20,NO,1552366765,80,63.73,8.83,30.2,16.11
284,Agirish,76,RU,1552367045,87,61.92,63.02,33.0,7.43
285,North Bend,90,US,1552366530,87,43.41,-124.22,48.99,4.7
286,Manakara,92,MG,1552367048,100,-22.14,48.01,77.19,4.18
287,Aswan,0,EG,1552367050,43,24.09,32.9,60.63,4.97
288,Horta,68,ES,1552367044,62,41.43,2.16,55.0,2.24
289,Torbay,90,CA,1552366960,100,47.66,-52.73,39.99,35.57
290,Necochea,80,AR,1552366915,76,-38.55,-58.74,61.0,1.01
291,Otjimbingwe,0,NA,1552367056,67,-22.35,16.13,46.23,2.73
292,Richards Bay,56,ZA,1552367058,99,-28.77,32.06,72.33,2.95
293,Margherita,75,IN,1552363200,73,27.29,95.67,71.6,4.7
294,Merauke,80,ID,1552366968,92,-8.49,140.4,83.58,8.1
295,Grindavik,75,IS,1552365000,64,63.84,-22.43,42.01,20.8
296,Ahipara,44,NZ,1552362594,82,-35.17,173.16,77.0,1.01
297,Cabo San Lucas,75,MX,1552366840,68,22.89,-109.91,71.01,19.46
298,Singarayakonda,0,IN,1552367066,46,15.25,80.02,93.12,9.66
299,Zyryanka,68,RU,1552367068,63,65.73,150.89,3.84,2.62
300,Macklin,76,CA,1552367070,78,52.34,-109.94,21.57,3.62
301,Okhotsk,68,RU,1552367071,74,59.36,143.24,20.22,4.85
302,Aitape,76,PG,1552367072,100,-3.15,142.36,78.45,11.12
303,Saint-Francois,0,FR,1552366956,92,46.42,3.91,26.6,3.36
304,Dalvik,0,SE,1552366819,92,57.79,14.13,21.99,3.36
305,Kaitangata,32,NZ,1552366956,63,-46.28,169.85,68.0,8.99
306,Vanavara,80,RU,1552367078,67,60.35,102.28,26.52,9.78
307,Carutapera,68,BR,1552366813,95,-1.2,-46.02,77.19,4.41
308,Nsanje,56,MZ,1552367080,93,-16.92,35.26,74.58,4.18
309,Tuatapere,0,NZ,1552366809,75,-46.13,167.69,69.01,5.01
310,Flinders,75,AU,1552367044,18,-34.58,150.85,95.0,17.22
311,Salinas,1,US,1552367018,66,36.67,-121.66,54.0,6.42
312,Katima Mulilo,0,NA,1552367086,73,-17.5,24.28,73.95,4.97
313,Elizabeth City,1,US,1552366883,62,36.3,-76.22,53.6,10.67
314,Faya,75,SA,1552363200,62,18.39,42.45,57.2,3.18
315,Moba,36,CD,1552367089,88,-7.04,29.77,73.32,2.84
316,Yeppoon,8,AU,1552365000,27,-23.13,150.74,100.4,9.17
317,Saint Anthony,1,US,1552366811,62,43.97,-111.68,28.4,6.93
318,Kifri,0,IQ,1552367094,48,34.69,44.96,55.14,4.52
319,Kimberley,20,ZA,1552363200,82,-28.74,24.76,62.6,10.29
320,Nelson Bay,0,AU,1552366851,35,-32.72,152.14,89.01,16.11
321,Morant Bay,20,JM,1552363200,65,17.88,-76.41,77.0,6.93
322,Alofi,76,NU,1552363200,74,-19.06,-169.92,84.2,12.75
323,Ewa Beach,1,US,1552366905,53,21.32,-158.01,78.8,10.29
324,Jerez,0,ES,1552366817,76,36.68,-6.14,60.8,2.24
325,Cedar City,90,US,1552366891,86,37.68,-113.06,39.0,2.95
326,Contamana,20,PE,1552367104,93,-7.35,-75.01,75.21,2.06
327,Minas,40,UY,1552363200,82,-34.38,-55.24,64.4,6.93
328,Aklavik,90,CA,1552363200,70,68.22,-135.01,-2.21,9.17
329,Ixtapa,75,MX,1552366822,100,20.71,-105.21,75.0,1.61
330,Rundu,20,NA,1552367110,76,-17.91,19.77,69.18,8.21
331,Atchison,90,US,1552367023,65,39.56,-95.12,44.6,6.93
332,Utiel,0,ES,1552367109,87,39.57,-1.21,48.0,3.36
333,Nouakchott,0,MR,1552365000,12,18.08,-15.98,71.6,11.41
334,Ambulu,20,ID,1552367115,100,-8.35,113.61,83.22,5.97
335,Nikolayevka,64,RU,1552367117,91,46.73,38.57,35.16,4.07
336,Salym,92,RU,1552367118,92,60.06,71.48,34.62,5.41
337,Syamzha,56,RU,1552367120,88,60.02,41.06,22.2,11.56
338,Port-Gentil,64,GA,1552367121,96,-0.72,8.78,82.41,6.76
339,Namatanai,76,PG,1552367122,100,-3.66,152.44,79.8,8.21
340,Sao Filipe,0,CV,1552367123,91,14.9,-24.5,72.33,14.81
341,Komsomolskiy,92,RU,1552367125,87,67.55,63.78,15.72,13.02
342,Romny,12,UA,1552367126,89,50.74,33.49,26.97,9.78
343,Dingle,0,PH,1552367127,42,11.0,122.67,91.59,10.45
344,Pacific Grove,1,US,1552367117,66,36.62,-121.92,54.0,6.42
345,Labuhan,64,ID,1552367130,70,-2.54,115.51,85.38,1.95
346,Santiago del Estero,76,AR,1552367131,95,-27.8,-64.26,62.88,3.4
347,Santa Isabel do Rio Negro,80,BR,1552367133,100,-0.41,-65.02,73.05,2.73
348,Nieuw Amsterdam,0,SR,1552366811,94,5.88,-55.08,75.0,1.12
349,Sergach,92,RU,1552367135,96,55.53,45.48,33.0,6.42
350,Gusau,0,NG,1552367137,42,12.17,6.66,66.21,3.74
351,Hambantota,75,LK,1552363800,70,6.12,81.12,84.2,10.29
352,Broome,92,GB,1552367092,81,52.47,1.45,46.99,20.8
353,Lompoc,1,US,1552367086,57,34.64,-120.46,54.0,7.43
354,Noyabrsk,0,RU,1552367071,94,63.2,75.45,25.08,4.29
355,Wencheng,24,CN,1552367143,43,27.79,120.09,68.1,2.06
356,Zhezkazgan,0,KZ,1552365000,85,47.8,67.71,14.0,8.95
357,Yafran,48,LY,1552366961,95,32.06,12.53,46.23,14.25
358,Vigrestad,40,NO,1552366846,86,58.57,5.7,41.0,16.11
359,Narsaq,80,GL,1552362600,49,60.91,-46.05,23.0,11.41
360,Chernyshevskiy,76,RU,1552367150,78,63.01,112.47,19.23,4.63
361,Port Macquarie,0,AU,1552366804,65,-31.43,152.91,86.0,11.41
362,Pio XII,76,BR,1552367153,91,-3.89,-45.17,76.83,2.73
363,Kang,0,BW,1552367154,50,-23.67,22.79,72.42,14.25
364,Vrangel,92,RU,1552367156,100,42.73,133.08,33.9,11.56
365,Saint Simons,90,US,1552367100,93,31.14,-81.39,63.0,4.41
366,Nola,0,CF,1552367158,89,3.52,16.05,71.61,4.52
367,South Valley,90,US,1552366924,93,35.01,-106.68,52.0,11.41
368,Marquette,1,US,1552366903,85,46.54,-87.4,14.0,4.7
369,Souillac,0,FR,1552367128,86,45.6,-0.6,39.99,10.29
370,Marzuq,0,YE,1552367163,39,14.4,46.47,71.61,2.95
371,Ouesso,24,CG,1552367165,96,1.61,16.05,71.52,3.96
372,Vao,76,EE,1552367166,84,59.1,26.19,23.82,6.98
373,Impfondo,12,CD,1552367167,86,1.62,18.06,74.49,3.96
374,Caucaia,75,BR,1552366698,83,-3.73,-38.66,82.4,6.93
